iteration,cooperator_mooves, agents, bestscore, fullcoop_agents, fulldefector_agents, pair_score_mean
0,1020, 200, 65535, 66, 63, nan
1,915, 200, 15, 65, 78, 17.350000
2,848, 200, 15, 68, 94, 15.800000
3,866, 200, 15, 62, 90, 17.820000
4,868, 200, 15, 63, 83, 17.719999
5,888, 200, 15, 67, 90, 14.440000
6,809, 200, 15, 57, 94, 15.090000
7,818, 200, 15, 60, 93, 14.620000
8,860, 200, 15, 60, 88, 15.880000
9,802, 200, 15, 55, 91, 13.580000
10,781, 200, 15, 48, 89, 16.530001
11,802, 200, 15, 52, 91, 15.380000
12,883, 200, 15, 59, 83, 17.430000
13,819, 200, 15, 53, 87, 16.549999
14,679, 200, 15, 42, 101, 13.190000
15,725, 200, 15, 42, 98, 14.690000
16,750, 200, 15, 47, 95, 15.780000
17,718, 200, 15, 46, 104, 13.900000
18,614, 200, 15, 38, 112, 10.740000
19,601, 200, 15, 38, 116, 11.530000
20,584, 200, 15, 38, 123, 10.760000
21,613, 200, 15, 37, 116, 10.810000
22,626, 200, 15, 34, 105, 10.740000
23,516, 200, 15, 27, 120, 9.240000
24,455, 200, 15, 20, 127, 9.030000
25,431, 200, 14, 14, 125, 7.430000
26,313, 200, 15, 8, 139, 4.890000
27,357, 200, 14, 10, 136, 6.170000
28,284, 200, 15, 11, 147, 4.720000
29,177, 200, 14, 5, 164, 2.810000
30,184, 200, 14, 6, 167, 2.680000
31,147, 200, 11, 5, 172, 1.750000
32,53, 200, 10, 1, 188, 0.610000
33,63, 200, 12, 3, 188, 0.910000
34,45, 200, 10, 2, 190, 0.490000
35,64, 200, 10, 2, 186, 0.640000
36,41, 200, 7, 0, 190, 0.570000
37,48, 200, 6, 0, 190, 0.480000
38,57, 200, 10, 1, 187, 0.890000
39,48, 200, 10, 1, 191, 0.480000
40,59, 200, 10, 2, 190, 0.750000
41,56, 200, 10, 2, 188, 0.640000
42,71, 200, 10, 1, 185, 0.710000
43,33, 200, 7, 0, 194, 0.410000
44,21, 200, 6, 0, 196, 0.210000
45,4, 200, 3, 0, 198, 0.040000
46,21, 200, 10, 1, 196, 0.210000
47,5, 200, 5, 0, 199, 0.050000
48,16, 200, 8, 0, 197, 0.280000
49,16, 200, 5, 0, 196, 0.160000
50,39, 200, 10, 2, 194, 0.390000
51,10, 200, 10, 1, 199, 0.100000
52,9, 200, 5, 0, 198, 0.090000
53,12, 200, 6, 0, 197, 0.120000
54,12, 200, 5, 0, 197, 0.120000
55,15, 200, 5, 0, 197, 0.150000
56,10, 200, 10, 1, 199, 0.100000
57,19, 200, 10, 1, 197, 0.190000
58,25, 200, 7, 0, 195, 0.250000
59,10, 200, 10, 1, 199, 0.100000
60,14, 200, 5, 0, 197, 0.220000
61,37, 200, 10, 2, 195, 0.370000
62,22, 200, 10, 1, 197, 0.220000
63,10, 200, 10, 1, 199, 0.100000
64,0, 200, 0, 0, 200, 0.000000
65,16, 200, 5, 0, 196, 0.160000
66,10, 200, 6, 0, 198, 0.100000
67,0, 200, 0, 0, 200, 0.000000
68,15, 200, 6, 0, 197, 0.150000
